Date,S&P500_Close,GDP,Unemployment_Rate,Interest_Rate,SMA_20,EMA_20,MA_20,SD_20,Upper_BB,Lower_BB
2010-01-01,,14764.61,9.8,,,,,,,
2010-01-04,1132.989990234375,14764.61,9.8,3.85,,1132.989990234375,,,,
2010-01-05,1136.52001953125,14764.61,9.8,3.77,,1133.326183500744,,,,
2010-01-06,1137.1400146484375,14764.61,9.8,3.85,,1133.68940551481,,,,
2010-01-07,1141.68994140625,14764.61,9.8,3.85,,1134.4513613139948,,,,
2010-01-08,1144.97998046875,14764.61,9.8,3.83,,1135.454086947781,,,,
2010-01-11,1146.97998046875,14764.61,9.8,3.85,,1136.551791092635,,,,
2010-01-12,1136.219970703125,14764.61,9.8,3.74,,1136.520189150777,,,,
2010-01-13,1145.6800537109375,14764.61,9.8,3.8,,1137.3925572041255,,,,
2010-01-14,1148.4599609375,14764.61,9.8,3.76,,1138.4465956549232,,,,
2010-01-15,1136.030029296875,14764.61,9.8,3.7,,1138.2164464779662,,,,
2010-01-18,1136.030029296875,14764.61,9.8,3.7,,1138.0082162702433,,,,
2010-01-19,1150.22998046875,14764.61,9.8,3.73,,1139.1721938129583,,,,
2010-01-20,1138.0400390625,14764.61,9.8,3.68,,1139.0643695510098,,,,
2010-01-21,1116.47998046875,14764.61,9.8,3.62,,1136.9134753526992,,,,
2010-01-22,1091.760009765625,14764.61,9.8,3.62,,1132.6131452967873,,,,
2010-01-25,1096.780029296875,14764.61,9.8,3.66,,1129.2004675825099,,,,
2010-01-26,1092.1700439453125,14764.61,9.8,3.65,,1125.6737605694434,,,,
2010-01-27,1097.5,14764.61,9.8,3.66,,1122.9905452771154,,,,
2010-01-28,1084.530029296875,14764.61,9.8,3.68,,1119.327638993283,,,,
2010-01-29,1073.8699951171875,14764.61,9.8,3.63,1124.20400390625,1114.998339576512,1124.20400390625,24.82144445176326,1173.8468928097764,1074.5611150027235
2010-02-01,1089.18994140625,14764.61,9.8,3.68,1122.0140014648437,1112.54039689363,1122.0140014648437,25.913669215397725,1173.841339895639,1070.1866630340483
2010-02-02,1103.3199462890625,14764.61,9.8,3.67,1120.3539978027343,1111.662258740814,1120.3539978027343,25.99876281216785,1172.3515234270699,1068.3564721783987
2010-02-03,1097.280029296875,14764.61,9.8,3.73,1118.3609985351563,1110.292522603296,1118.3609985351563,26.17147344861302,1170.7039454323824,1066.0180516379303
2010-02-04,1063.1099853515625,14764.61,9.8,3.62,1114.4320007324218,1105.7989476269404,1114.4320007324218,28.296985923379374,1171.0259725791805,1057.838028885663
2010-02-05,1066.18994140625,14764.61,9.8,3.59,1110.492498779297,1102.026661320208,1110.492498779297,29.28749737192152,1169.06749352314,1051.917504035454
2010-02-08,1056.739990234375,14764.61,9.8,3.62,1105.9804992675781,1097.713645026319,1105.9804992675781,30.303921586465684,1166.5883424405095,1045.3726560946468
2010-02-09,1070.52001953125,14764.61,9.8,3.67,1102.6955017089845,1095.1237759315504,1102.6955017089845,30.414177284601717,1163.5238562781878,1041.867147139781
2010-02-10,1068.1300048828125,14764.61,9.8,3.72,1098.8179992675782,1092.5529405935754,1098.8179992675782,29.57757220602846,1157.973143679635,1039.6628548555213
2010-02-11,1078.469970703125,14764.61,9.8,3.73,1095.3184997558594,1091.2117053659135,1095.3184997558594,27.45964574638775,1150.237791248635,1040.399208263084
2010-02-12,1075.510009765625,14764.61,9.8,3.69,1092.292498779297,1089.7163057849336,1092.292498779297,26.03481954466907,1144.362137868635,1040.2228596899588
