Year,Month,Close,DATE,UNRATE
2010,1,1123.5815815172698,2010-01-01,9.8
2010,2,1089.1599892064144,2010-02-01,9.8
2010,3,1152.0486901324728,2010-03-01,9.9
2010,4,1197.316185360863,2010-04-01,9.9
2010,5,1125.0620056152343,2010-05-01,9.6
2010,6,1083.3608953302557,2010-06-01,9.4
2010,7,1079.8033360072545,2010-07-01,9.4
2010,8,1087.2822709517045,2010-08-01,9.5
2010,9,1122.0819033668154,2010-09-01,9.5
2010,10,1171.5838099888392,2010-10-01,9.4
2010,11,1198.8885614304315,2010-11-01,9.8
2010,12,1241.5254516601562,2010-12-01,9.3
2011,1,1282.6184997558594,2011-01-01,9.1
2011,2,1321.1178877981085,2011-02-01,9.0
2011,3,1304.4865138841712,2011-03-01,9.0
2011,4,1331.5050109863282,2011-04-01,9.1
2011,5,1338.3104654947917,2011-05-01,9.0
2011,6,1287.2886408025568,2011-06-01,9.1
2011,7,1325.184503173828,2011-07-01,9.0
2011,8,1185.3056534476902,2011-08-01,9.0
2011,9,1173.8790573846727,2011-09-01,9.0
2011,10,1207.2161865234375,2011-10-01,8.8
2011,11,1226.414771670387,2011-11-01,8.6
2011,12,1243.3228469122023,2011-12-01,8.5
2012,1,1300.5780151367187,2012-01-01,8.3
2012,2,1352.4875,2012-02-01,8.3
2012,3,1389.2400013316762,2012-03-01,8.2
2012,4,1386.4289855957031,2012-04-01,8.2
2012,5,1341.2727161754262,2012-05-01,8.2
2012,6,1323.4842936197917,2012-06-01,8.2
2012,7,1359.7761986142114,2012-07-01,8.2
2012,8,1403.4482581097147,2012-08-01,8.1
2012,9,1443.4194721422698,2012-09-01,7.8
2012,10,1437.816662016369,2012-10-01,7.8
2012,11,1394.5123872302827,2012-11-01,7.7
2012,12,1422.2854919433594,2012-12-01,7.9
2013,1,1480.395240420387,2013-01-01,8.0
2013,2,1512.3115812602796,2013-02-01,7.7
2013,3,1550.8289855957032,2013-03-01,7.5
2013,4,1570.702264959162,2013-04-01,7.6
2013,5,1639.842723499645,2013-05-01,7.5
2013,6,1618.7725158691405,2013-06-01,7.5
2013,7,1668.6754427823153,2013-07-01,7.3
2013,8,1670.0936390269887,2013-08-01,7.2
2013,9,1687.1735046386718,2013-09-01,7.2
2013,10,1720.0265317170517,2013-10-01,7.2
2013,11,1783.5410034179688,2013-11-01,6.9
2013,12,1807.7752336774554,2013-12-01,6.7
2014,1,1822.3566603887648,2014-01-01,6.6
2014,2,1817.0347386410363,2014-02-01,6.7
2014,3,1863.5233386811756,2014-03-01,6.7
2014,4,1864.2633347284227,2014-04-01,6.2
2014,5,1889.7671421595983,2014-05-01,6.3
2014,6,1947.087611607143,2014-06-01,6.1
2014,7,1973.0999866832387,2014-07-01,6.2
2014,8,1961.5319068545386,2014-08-01,6.1
2014,9,1993.2261904761904,2014-09-01,5.9
2014,10,1937.2743503736413,2014-10-01,5.7
2014,11,2044.5721050061677,2014-11-01,5.8
2014,12,2054.2663629705257,2014-12-01,5.6
2015,1,2028.1785095214843,2015-01-01,5.7
2015,2,2082.1957943564967,2015-02-01,5.5
2015,3,2079.9904396750712,2015-03-01,5.4
2015,4,2094.862839471726,2015-04-01,5.4
2015,5,2111.9435180664063,2015-05-01,5.6
2015,6,2099.2836581143465,2015-06-01,5.3
2015,7,2094.1436268199573,2015-07-01,5.2
2015,8,2039.8662051246279,2015-08-01,5.1
2015,9,1944.4023844401042,2015-09-01,5.0
2015,10,2024.8127163973722,2015-10-01,5.0
2015,11,2080.61650390625,2015-11-01,5.1
2015,12,2054.0795621004972,2015-12-01,5.0
2016,1,1918.5978875411183,2016-01-01,4.8
2016,2,1904.4184936523438,2016-02-01,4.9
2016,3,2021.9540904651988,2016-03-01,5.0
2016,4,2075.5352318173364,2016-04-01,5.1
2016,5,2065.5504789806546,2016-05-01,4.8
2016,6,2083.891368519176,2016-06-01,4.9
